Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,Ales GORECKI POSITION,Ales GORECKI LAP TIME,Ales GORECKI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,13.21,13.21,2,13.33,13.33,3,13.57,13.57
1,10.14,23.35,2,10.14,23.47,3,10.05,23.62
1,9.89,33.24,2,9.85,33.32,3,9.87,33.49
1,10.04,43.28,2,10.04,43.36,3,10.03,43.52
1,9.90,53.18,2,9.92,53.28,3,9.85,53.37
2,9.53,1:02.71,3,9.55,1:02.83,1,9.33,1:02.70
2,9.36,1:12.07,3,9.38,1:12.21,1,9.23,1:11.93
2,9.27,1:21.34,3,9.31,1:21.52,1,9.21,1:21.14
2,9.50,1:30.841,3,9.42,1:30.938,1,9.48,1:30.621
