CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,ZHAO Qinyu POSITION,ZHAO Qinyu LAP TIME,ZHAO Qinyu ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Zbigniew BRODKA POSITION,Zbigniew BRODKA LAP TIME,Zbigniew BRODKA ELAPSED TIME
0,8.279,8.279,0,8.010,8.010,0,8.379,8.379,0,8.413,8.413,0,8.997,8.997,0,9.079,9.079
0,10.513,18.792,0,10.645,18.655,0,10.490,18.869,0,10.515,18.929,0,10.237,19.234,0,10.281,19.360
0,10.296,29.088,0,10.143,28.798,0,10.328,29.196,0,10.232,29.161,0,10.249,29.483,0,10.292,29.652
0,10.071,39.159,0,10.240,39.038,0,10.096,39.293,0,10.061,39.222,0,10.644,40.127,0,9.783,39.435
0,10.289,49.448,0,10.233,49.271,0,10.314,49.607,0,10.317,49.539,0,9.678,49.804,0,10.811,50.245
0,10.429,59.877,0,10.762,1:00.033,0,10.392,59.999,0,10.385,59.924,0,10.593,1:00.397,0,10.528,1:00.773
0,10.878,1:10.756,0,10.843,1:10.876,0,10.944,1:10.942,0,10.971,1:10.895,0,10.777,1:11.174,0,10.794,1:11.567
0,11.204,1:21.959,0,11.334,1:22.210,0,11.268,1:22.210,0,11.256,1:22.151,0,11.366,1:22.540,0,10.746,1:22.312
0,9.940,1:31.900,0,10.003,1:32.212,0,9.929,1:32.139,0,9.904,1:32.055,0,9.911,1:32.451,0,10.793,1:33.106
0,9.937,1:41.837,0,10.073,1:42.285,0,9.854,1:41.993,0,9.881,1:41.935,0,9.585,1:42.037,0,9.995,1:43.100
0,9.687,1:51.524,0,10.341,1:52.626,0,9.672,1:51.666,0,9.810,1:51.745,0,9.472,1:51.509,0,10.134,1:53.234
0,9.549,2:01.073,0,10.484,2:03.110,0,9.459,2:01.124,0,9.558,2:01.303,0,9.332,2:00.841,0,10.322,2:03.556
0,9.118,2:10.191,0,10.718,2:13.828,0,9.652,2:10.776,0,9.733,2:11.036,0,9.388,2:10.230,0,10.155,2:13.712
0,,,0,,,0,,,0,,,0,,,0,,
