GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
3,12.07,12.07,4,12.29,12.29,1,11.87,11.87,6,12.49,,5,12.31,12.31,2,11.99,11.99
3,16.73,28.80,6,17.09,29.38,1,16.56,28.43,5,16.79,,4,16.78,29.09,2,16.63,28.62
3,15.28,44.08,5,14.90,44.28,1,15.26,43.69,6,15.11,,4,15.17,44.26,2,15.24,43.86
5,13.40,57.48,4,13.04,57.32,1,13.24,56.93,6,13.20,,3,12.89,57.15,2,13.15,57.01
5,13.73,1:11.21,4,13.76,1:11.08,1,13.69,1:10.62,6,13.76,,3,13.79,1:10.94,2,13.78,1:10.79
5,12.12,1:23.33,1,12.05,1:23.13,3,12.58,1:23.20,6,12.19,,4,12.38,1:23.32,2,12.37,1:23.16
1,9.42,1:32.75,2,9.92,1:33.05,4,10.08,1:33.28,6,9.97,,5,10.10,1:33.42,3,10.00,1:33.16
1,9.90,1:42.65,2,9.76,1:42.81,4,9.66,1:42.94,5,9.51,,6,9.65,1:43.07,3,9.73,1:42.89
2,9.95,1:52.60,1,9.73,1:52.54,4,9.87,1:52.81,5,9.89,,6,9.90,1:52.97,3,9.76,1:52.65
2,9.75,2:02.35,1,9.69,2:02.23,5,9.76,2:02.57,6,9.78,,4,9.55,2:02.52,3,9.81,2:02.46
2,9.79,2:12.14,1,9.79,2:12.02,5,9.90,2:12.47,6,9.85,,4,9.86,2:12.38,3,9.79,2:12.25
2,9.82,2:21.96,1,9.82,2:21.84,6,9.80,2:22.27,5,9.61,,3,9.67,2:22.05,3,9.80,2:22.05
2,9.58,2:31.54,1,9.61,2:31.45,4,9.56,2:31.83,5,9.77,,6,9.91,2:31.96,3,9.64,2:31.69
2,9.60,2:41.125,1,9.60,2:41.032,4,9.50,2:41.317,6,34.26,,5,10.79,2:42.734,3,9.49,2:41.170
