Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,CHOE Un Song POSITION,CHOE Un Song LAP TIME,CHOE Un Song ELAPSED TIME
3,13.97,13.97,4,14.12,14.12,5,14.15,14.15,2,13.91,13.91,1,13.79,13.79
2,10.92,24.89,5,10.95,25.07,1,10.65,24.80,4,11.14,25.05,3,11.20,24.99
2,10.05,34.94,3,9.98,35.05,1,10.05,34.85,5,10.19,35.24,4,10.13,35.12
2,9.85,44.79,3,9.86,44.91,1,9.85,44.70,5,9.82,45.06,4,9.93,45.05
3,9.79,54.58,1,9.42,54.33,2,9.78,54.48,4,9.65,54.71,5,9.83,54.88
4,9.43,1:04.01,1,9.36,1:03.69,2,9.25,1:03.73,3,9.13,1:03.84,5,9.35,1:04.23
4,9.35,1:13.36,3,9.32,1:13.01,1,9.07,1:12.80,2,9.05,1:12.89,5,9.17,1:13.40
5,9.55,1:22.91,3,9.10,1:22.11,1,9.00,1:21.80,2,8.98,1:21.87,4,9.25,1:22.65
5,9.93,1:32.820,3,9.14,1:31.239,1,9.13,1:30.93,2,9.14,1:31.01,4,9.44,1:32.070
