Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Vladimir KUZOVNIKOV POSITION,Vladimir KUZOVNIKOV LAP TIME,Vladimir KUZOVNIKOV ELAPSED TIME,Rafal PIORECKI POSITION,Rafal PIORECKI LAP TIME,Rafal PIORECKI ELAPSED TIME
4,13.41,13.41,2,13.33,13.33,1,13.27,13.27,3,13.37,13.37
3,9.99,23.40,2,9.97,23.30,1,9.81,23.09,4,10.17,23.55
3,10.03,33.44,2,10.08,33.39,1,9.93,33.02,4,10.01,33.57
4,16.68,50.12,1,9.63,43.02,2,10.09,43.11,3,11.48,45.05
4,29.58,1:19.71,1,9.59,52.61,2,9.53,52.65,3,18.54,1:03.60
4,13.91,1:33.62,2,9.69,1:02.30,1,9.64,1:02.29,3,10.85,1:14.45
4,12.55,1:46.17,2,9.74,1:12.05,1,9.65,1:11.94,3,10.43,1:24.88
4,12.02,1:58.20,2,9.60,1:21.65,1,9.70,1:21.65,3,11.35,1:36.24
0,,DQ,1,9.84,1:31.482,2,10.28,1:31.925,3,12.67,1:48.910
