Grant HESTER POSITION,Grant HESTER LAP TIME,Grant HESTER ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Paulius GLUSINAS POSITION,Paulius GLUSINAS LAP TIME,Paulius GLUSINAS ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,7.137,7.137,2,7.319,7.319,4,7.739,7.739,3,7.405,7.405
1,9.607,16.744,2,9.430,16.749,4,10.160,17.899,3,9.536,16.940
3,9.408,26.152,1,8.155,24.904,4,9.704,27.603,2,8.991,25.931
3,9.410,35.562,1,9.049,33.953,4,9.907,37.510,2,9.351,35.282
3,9.853,45.415,1,9.892,43.845,4,10.474,47.983,2,9.689,44.971
