Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
1,13.180,13.180,4,13.650,13.650,2,13.350,13.350,3,13.400,13.400
2,10.390,23.580,4,10.290,23.940,3,10.270,23.620,1,10.080,23.490
3,10.280,33.870,4,10.200,34.150,2,10.210,33.840,1,10.240,33.730
2,9.470,43.340,4,9.540,43.690,1,9.480,43.320,3,9.700,43.430
2,9.960,53.310,4,9.820,53.520,1,9.950,53.270,3,10.040,53.480
2,9.910,1:03.220,1,9.410,1:02.930,3,9.980,1:03.260,4,10.060,1:03.540
2,9.730,1:12.950,1,9.380,1:12.310,3,9.980,1:13.240,4,9.700,1:13.240
2,10.120,1:23.070,1,9.750,1:22.060,3,10.060,1:23.300,4,10.540,1:23.780
2,10.130,1:33.210,1,10.260,1:32.330,3,10.040,1:33.350,4,11.810,1:35.600
