MIN Ryoung POSITION,MIN Ryoung LAP TIME,MIN Ryoung ELAPSED TIME,Shani DAVIS POSITION,Shani DAVIS LAP TIME,Shani DAVIS ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME
3,9.382,9.382,6,9.604,9.604,2,9.381,9.381,5,9.543,9.543,4,9.426,9.426,1,9.314,9.314,7,10.145,10.145
5,12.678,22.060,6,12.566,22.169,3,12.498,21.879,4,12.502,22.044,2,12.364,21.790,1,12.279,21.592,7,12.469,22.613
5,11.590,33.649,6,11.601,33.770,3,11.678,33.556,4,11.604,33.647,2,11.625,33.415,1,11.763,33.354,7,11.549,34.162
1,10.389,44.037,3,10.430,44.200,2,10.592,44.148,4,10.760,44.406,5,11.019,44.434,6,11.146,44.500,7,10.709,44.870
2,10.485,54.522,4,10.491,54.691,5,10.591,54.738,6,10.545,54.951,3,10.217,54.651,1,9.903,54.403,7,10.572,55.441
2,9.668,1:04.190,5,9.892,1:04.582,4,9.778,1:04.516,6,9.999,1:04.949,3,9.804,1:04.455,1,9.764,1:04.166,7,10.055,1:05.496
1,9.754,1:13.943,5,9.751,1:14.333,4,9.751,1:14.267,6,9.515,1:14.463,3,9.685,1:14.139,2,9.860,1:14.026,7,9.786,1:15.281
1,9.620,1:23.562,5,9.472,1:23.804,4,9.514,1:23.780,6,9.498,1:23.961,3,9.635,1:23.774,2,9.558,1:23.584,7,9.828,1:25.109
1,9.445,1:33.007,5,9.536,1:33.339,4,9.511,1:33.290,6,9.381,1:33.341,3,9.464,1:33.238,2,9.504,1:33.087,7,9.798,1:34.906
1,9.539,1:42.545,5,9.694,1:43.033,3,9.590,1:42.880,6,9.779,1:43.119,4,9.648,1:42.886,2,9.494,1:42.580,7,10.019,1:44.925
3,9.445,1:51.990,6,9.323,1:52.355,2,8.986,1:51.865,5,9.108,1:52.226,4,9.275,1:52.160,1,9.285,1:51.865,7,10.363,1:55.288
3,9.137,2:01.126,6,9.465,2:01.820,1,8.771,2:00.636,5,9.284,2:01.510,4,9.113,2:01.273,2,9.095,2:00.960,7,10.472,2:05.759
4,9.226,2:10.351,6,9.487,2:11.306,1,9.085,2:09.721,5,8.909,2:10.418,3,9.037,2:10.309,2,9.075,2:10.035,7,11.042,2:16.801
5,10.22,2:20.563,6,10.50,2:21.805,1,9.54,2:19.258,3,9.02,2:19.436,2,9.05,2:19.359,4,9.50,2:19.532,7,11.61,2:28.409
