Maureen de LANGE POSITION,Maureen de LANGE LAP TIME,Maureen de LANGE ELAPSED TIME,Marcela HRUZOVA POSITION,Marcela HRUZOVA LAP TIME,Marcela HRUZOVA ELAPSED TIME,CHAN Suet Ying POSITION,CHAN Suet Ying LAP TIME,CHAN Suet Ying ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Emily ROSEMOND POSITION,Emily ROSEMOND LAP TIME,Emily ROSEMOND ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
2,9.111,9.111,4,9.426,9.426,3,9.366,9.366,6,9.442,9.442,5,9.436,9.436,1,9.089,9.089
2,12.634,21.744,4,12.551,21.977,6,12.988,22.354,3,12.370,21.811,5,12.787,22.222,1,12.618,21.706
3,12.603,34.347,4,12.522,34.498,5,12.331,34.685,2,12.498,34.308,6,12.498,34.720,1,12.467,34.173
2,12.842,47.188,5,13.021,47.518,4,12.733,47.417,3,12.884,47.192,6,12.827,47.547,1,12.974,47.146
1,12.504,59.691,5,12.700,1:00.218,6,12.808,1:00.225,2,12.754,59.946,4,12.650,1:00.197,3,12.814,59.959
2,10.927,1:10.617,4,10.745,1:10.963,6,10.986,1:11.211,3,10.865,1:10.810,5,10.893,1:11.089,1,10.485,1:10.444
3,10.316,1:20.933,4,10.152,1:21.114,6,10.835,1:22.046,2,10.024,1:20.834,5,10.239,1:21.327,1,10.236,1:20.679
3,10.309,1:31.241,4,10.292,1:31.405,6,11.237,1:33.282,1,10.134,1:30.968,5,10.208,1:31.535,2,10.343,1:31.022
3,10.484,1:41.725,4,10.533,1:41.938,6,11.535,1:44.816,1,10.472,1:41.440,5,10.600,1:42.135,2,10.468,1:41.489
3,10.542,1:52.266,4,10.510,1:52.448,6,12.107,1:56.923,2,10.707,1:52.146,5,10.546,1:52.681,1,10.617,1:52.106
3,10.480,2:02.746,4,10.615,2:03.063,6,12.189,2:09.111,2,10.484,2:02.630,5,10.560,2:03.240,1,10.402,2:02.507
3,10.173,2:12.918,5,10.659,2:13.722,6,12.751,2:21.862,2,10.073,2:12.703,4,10.328,2:13.568,1,10.154,2:12.660
3,9.965,2:22.883,5,10.891,2:24.612,6,13.469,2:35.331,2,10.089,2:22.791,4,10.308,2:23.876,1,10.010,2:22.670
3,10.49,2:33.373,5,11.63,2:36.239,6,22.96,2:58.284,2,10.14,2:32.927,4,10.81,2:34.678,1,10.21,2:32.875
