Andrey MIKHASIOV POSITION,Andrey MIKHASIOV LAP TIME,Andrey MIKHASIOV ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,6.78,6.78,4,7.37,7.37,3,7.11,7.11,2,6.95,6.95
1,9.03,15.81,4,9.25,16.62,2,8.86,15.97,3,9.40,16.35
1,8.55,24.36,4,8.69,25.31,2,8.48,24.45,3,8.56,24.91
2,8.90,33.26,4,8.91,34.22,1,8.57,33.02,3,8.61,33.52
2,8.99,42.247,4,9.32,43.533,1,8.85,41.868,3,8.77,42.281
