J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME
1,12.11,12.11,5,12.54,12.54,3,12.31,12.31,4,12.51,,2,12.21,12.21,6,12.70,12.70
1,9.08,21.19,5,9.27,21.81,3,9.08,21.39,4,9.14,,2,9.07,21.28,6,9.22,21.92
1,8.79,29.98,5,8.94,30.75,3,8.82,30.21,4,8.80,,2,8.71,29.99,6,8.97,30.89
2,8.90,38.88,5,9.04,39.79,3,8.81,39.02,4,8.68,,1,8.75,38.74,6,9.15,40.04
2,8.83,47.71,5,9.31,49.10,3,8.85,47.87,4,8.87,,1,8.85,47.59,6,9.39,49.43
2,9.07,56.78,5,9.76,58.86,4,9.15,57.02,3,8.87,,1,9.06,56.65,6,9.61,59.04
1,9.16,1:05.94,5,10.16,1:09.02,4,9.52,1:06.54,3,9.25,,2,9.30,1:05.95,6,10.08,1:09.12
1,9.18,1:15.12,3,10.59,1:19.61,2,9.92,1:16.46,5,28.46,,6,33.86,1:39.81,4,10.60,1:19.72
1,9.69,1:24.81,3,10.75,1:30.36,2,10.34,1:26.80,5,29.39,,6,27.21,2:07.02,4,10.77,1:30.49
