ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,Shotaro TANAKA POSITION,Shotaro TANAKA LAP TIME,Shotaro TANAKA ELAPSED TIME
4,13.320,13.320,3,13.190,13.190,2,13.080,13.080,1,12.890,12.890
3,10.380,23.700,2,10.440,23.640,4,10.870,23.950,1,10.720,23.620
4,10.190,33.900,3,10.010,33.660,1,9.630,33.580,2,10.030,33.650
2,9.780,43.680,3,10.090,43.750,1,9.870,43.450,4,10.160,43.820
1,9.450,53.130,3,9.830,53.580,2,9.970,53.420,4,9.780,53.600
1,9.870,1:03.010,3,9.600,1:03.180,2,9.720,1:03.150,4,9.780,1:03.390
2,9.770,1:12.780,1,9.190,1:12.380,3,9.750,1:12.910,4,9.580,1:12.970
3,9.870,1:22.660,1,9.500,1:21.890,2,9.650,1:22.560,4,9.750,1:22.720
1,9.370,1:32.030,2,10.270,1:32.160,3,9.760,1:32.320,4,10.360,1:33.090
