Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME
3,7.83,7.83,1,7.45,7.45,4,7.94,7.94,2,7.63,7.63
3,9.86,17.69,1,9.58,17.03,4,9.92,17.86,2,9.51,17.14
3,9.54,27.23,1,9.13,26.16,4,9.44,27.30,2,9.06,26.20
4,9.84,37.07,2,9.34,35.50,3,9.67,36.97,1,9.20,35.40
4,9.97,47.032,2,9.49,44.985,3,9.81,46.771,1,9.34,44.735
