Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME
2,7.00,7.00,1,6.97,6.97,3,7.27,7.27,4,7.43,7.43
2,9.35,16.35,1,9.21,16.18,3,9.32,16.59,4,9.24,16.67
2,8.92,25.27,1,8.78,24.96,4,8.96,25.55,3,8.75,25.42
2,8.91,34.18,1,8.93,33.89,4,8.97,34.52,3,8.84,34.26
3,9.18,43.357,1,9.06,42.950,4,9.16,43.671,2,9.04,43.294
