NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME
3,7.08,7.08,1,6.80,6.80,4,7.15,7.15,2,7.03,7.03
3,9.07,16.15,1,8.94,15.74,4,9.02,16.17,2,9.04,16.07
4,8.72,24.87,1,8.40,24.14,3,8.60,24.77,2,8.51,24.58
4,8.48,33.35,1,8.47,32.61,3,8.49,33.26,2,8.51,33.09
4,28.06,1:01.405,1,8.80,41.403,3,8.77,42.029,2,8.81,41.894
