SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
2,14.33,14.33,1,14.12,14.12,3,14.48,14.48,4,14.58,14.58
2,11.33,25.66,1,11.36,25.48,4,11.31,25.79,3,11.16,25.74
3,10.20,35.86,2,10.17,35.65,4,10.22,36.01,1,9.84,35.58
2,9.46,45.32,3,9.68,45.33,4,9.52,45.53,1,9.62,45.20
1,8.69,54.01,3,9.12,54.45,4,9.16,54.69,2,9.05,54.25
1,8.55,1:02.56,3,8.72,1:03.17,4,9.04,1:03.73,2,8.72,1:02.97
1,8.68,1:11.24,3,8.85,1:12.02,4,9.29,1:13.02,2,8.77,1:11.74
1,8.93,1:20.17,3,9.07,1:21.09,4,9.80,1:22.82,2,9.04,1:20.78
1,9.64,1:29.804,3,9.51,1:30.600,4,10.20,1:33.013,2,9.37,1:30.144
