Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME
1,7.09,7.09,2,7.27,7.27,3,7.39,7.39,4,7.53,7.53
1,9.05,16.14,2,8.98,16.25,3,9.03,16.42,4,9.13,16.66
1,8.54,24.68,2,8.47,24.72,3,8.58,25.00,4,8.55,25.21
2,8.58,33.26,1,8.48,33.20,3,8.67,33.67,4,8.64,33.85
2,8.77,42.030,1,8.72,41.912,3,8.82,42.481,4,8.76,42.607
