Sebastien GAGNON POSITION,Sebastien GAGNON LAP TIME,Sebastien GAGNON ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LEE Jun Seo POSITION,LEE Jun Seo LAP TIME,LEE Jun Seo ELAPSED TIME,SHAOLIN SANDOR Liu POSITION,SHAOLIN SANDOR Liu LAP TIME,SHAOLIN SANDOR Liu ELAPSED TIME
1,13.51,13.51,3,13.83,13.83,2,13.74,13.74,4,14.37,14.37
4,10.99,24.50,1,10.45,24.28,2,10.63,24.37,3,10.01,24.38
1,9.13,33.63,2,9.67,33.95,3,9.83,34.20,3,9.82,34.20
1,9.81,43.44,2,9.58,43.53,4,9.64,43.84,3,9.51,43.71
2,9.56,53.00,1,9.28,52.81,2,9.16,53.00,4,9.39,53.10
4,9.34,1:02.34,1,9.40,1:02.21,3,9.33,1:02.33,2,9.19,1:02.29
1,8.82,1:11.16,2,8.96,1:11.17,4,9.08,1:11.41,3,9.09,1:11.38
1,8.80,1:19.96,2,8.98,1:20.15,4,9.02,1:20.43,3,8.94,1:20.32
3,9.74,1:29.705,2,9.14,1:29.292,4,9.60,1:30.035,1,8.89,1:29.211
