Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,Thomas de WITTE POSITION,Thomas de WITTE LAP TIME,Thomas de WITTE ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Alex IZYKOWSKI POSITION,Alex IZYKOWSKI LAP TIME,Alex IZYKOWSKI ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME
3,8.300,8.300,4,8.404,8.404,5,8.435,8.435,2,8.298,8.298,1,8.294,8.294,6,8.704,8.704
2,11.589,19.888,1,11.480,19.883,5,11.791,20.225,3,11.639,19.936,4,11.897,20.191,6,11.894,20.598
2,11.011,30.899,3,11.041,30.924,4,10.846,31.071,1,10.951,30.887,5,10.980,31.171,6,10.928,31.525
3,11.023,41.921,1,10.905,41.829,4,11.124,42.194,2,10.986,41.872,5,11.033,42.203,6,10.991,42.516
2,11.044,52.965,1,11.124,52.952,4,11.004,53.198,3,11.211,53.082,5,11.033,53.236,6,11.026,53.542
2,10.902,1:03.867,1,10.867,1:03.819,5,10.939,1:04.136,3,10.819,1:03.901,4,10.778,1:04.013,6,10.805,1:04.347
1,9.561,1:13.427,5,10.179,1:13.998,3,9.372,1:13.507,2,9.569,1:13.470,4,9.595,1:13.607,6,9.660,1:14.006
1,9.695,1:23.121,5,9.539,1:23.536,4,9.745,1:23.252,2,9.658,1:23.128,3,9.589,1:23.195,6,9.659,1:23.665
2,9.483,1:32.603,5,9.627,1:33.162,4,9.675,1:32.927,3,9.568,1:32.695,1,9.350,1:32.544,6,9.589,1:33.253
2,9.371,1:41.974,6,9.878,1:43.040,4,9.337,1:42.264,3,9.394,1:42.089,1,9.300,1:41.844,5,9.513,1:42.765
1,9.229,1:51.202,6,10.221,1:53.261,4,9.337,1:51.600,3,9.263,1:51.351,2,9.470,1:51.314,5,9.718,1:52.482
1,9.497,2:00.699,6,10.474,2:03.735,4,9.271,2:00.871,3,9.479,2:00.829,2,9.391,2:00.705,5,9.820,2:02.302
3,9.613,2:10.311,6,11.117,2:14.852,4,9.667,2:10.538,1,9.458,2:10.286,2,9.607,2:10.311,5,10.279,2:12.580
1,9.98,2:20.291,6,11.16,2:26.005,4,10.19,2:20.726,2,10.07,2:20.350,3,10.16,2:20.466,5,10.68,2:23.257
