Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
2,6.850,6.850,1,6.425,6.425,3,6.894,6.894,4,7.079,7.079
3,9.166,16.015,1,9.110,15.535,2,9.053,15.946,4,9.014,16.093
3,8.806,24.821,1,8.752,24.286,2,8.666,24.611,4,8.763,24.855
4,8.915,33.735,2,9.202,33.488,1,8.835,33.445,3,8.849,33.704
4,9.35,43.083,3,9.58,43.066,2,9.52,42.958,1,9.20,42.897
