Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME
1,6.99,6.99,2,7.10,7.10,3,7.10,7.10,4,7.27,7.27
1,9.20,16.19,2,9.35,16.45,4,19.56,26.66,3,9.21,16.48
1,8.80,24.99,2,8.66,25.11,4,10.71,37.37,3,9.04,25.52
2,8.92,33.91,1,8.54,33.65,4,9.65,47.02,3,9.10,34.62
4,35.31,1:09.212,1,8.72,42.367,3,10.02,57.032,2,9.26,43.879
