CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,KIM Seoung Il POSITION,KIM Seoung Il LAP TIME,KIM Seoung Il ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
4,10.07,10.07,1,9.73,9.73,2,9.82,9.82,3,9.97,9.97,5,10.90,10.90
3,13.07,23.14,2,13.16,22.89,1,12.72,22.54,4,13.29,23.26,5,12.54,23.44
4,11.92,35.06,2,11.75,34.64,1,12.07,34.61,5,11.86,35.12,3,11.31,34.75
3,11.18,46.24,2,11.52,46.16,1,11.47,46.08,5,11.53,46.65,4,11.54,46.29
1,9.99,56.23,3,10.29,56.45,2,10.34,56.42,5,10.34,56.99,4,10.24,56.53
1,10.09,1:06.32,4,10.19,1:06.64,3,10.15,1:06.57,5,9.85,1:06.84,2,9.98,1:06.51
2,9.71,1:16.03,4,9.58,1:16.22,3,9.61,1:16.18,5,9.48,1:16.32,1,9.42,1:15.93
1,9.17,1:25.20,5,9.30,1:25.52,4,9.29,1:25.47,3,9.09,1:25.41,2,9.46,1:25.39
1,9.26,1:34.46,4,9.22,1:34.74,5,9.43,1:34.90,2,9.08,1:34.49,3,9.32,1:34.71
1,9.05,1:43.51,4,9.07,1:43.81,5,9.05,1:43.95,2,9.11,1:43.60,3,9.04,1:43.75
2,9.41,1:52.92,4,9.38,1:53.19,5,9.35,1:53.30,3,9.41,1:53.01,1,9.15,1:52.90
1,9.49,2:02.41,4,9.48,2:02.67,5,9.52,2:02.82,2,9.54,2:02.55,3,9.70,2:02.60
2,9.32,2:11.73,4,9.43,2:12.10,5,9.51,2:12.33,3,9.29,2:11.84,1,9.11,2:11.71
2,9.63,2:21.358,3,9.67,2:21.767,4,9.71,2:22.038,1,9.38,2:21.218,0,,DQ
