PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME
4,16.39,16.39,2,16.20,16.20,3,16.28,16.28,1,16.11,16.11
3,11.58,27.97,2,11.69,27.89,4,11.87,28.15,1,11.68,27.79
4,10.88,38.85,3,10.87,38.76,1,10.26,38.41,2,10.78,38.57
3,9.71,48.56,2,9.73,48.49,1,9.98,48.39,4,10.04,48.61
1,9.14,57.70,3,9.49,57.98,2,9.51,57.90,4,9.52,58.13
1,8.96,1:06.66,2,8.81,1:06.79,3,9.21,1:07.11,4,9.16,1:07.29
1,8.95,1:15.61,2,8.91,1:15.70,3,9.20,1:16.31,4,9.13,1:16.42
1,9.05,1:24.66,2,9.08,1:24.78,3,9.17,1:25.48,4,9.16,1:25.58
2,9.34,1:33.992,1,9.08,1:33.854,3,9.49,1:34.967,4,9.51,1:35.081
