Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Agnieszka BAWERNA POSITION,Agnieszka BAWERNA LAP TIME,Agnieszka BAWERNA ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Kim de DAPPER POSITION,Kim de DAPPER LAP TIME,Kim de DAPPER ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,SPIRIDONOVA Elizaveta POSITION,SPIRIDONOVA Elizaveta LAP TIME,SPIRIDONOVA Elizaveta ELAPSED TIME
0,20.347,20.347,0,20.709,20.709,0,20.762,20.762,0,20.213,20.213,0,21.027,21.027,0,21.336,21.336,0,21.267,21.267
0,14.154,34.501,0,,,0,13.631,34.393,0,14.005,34.218,0,13.854,34.881,0,13.701,35.037,0,13.905,35.171
0,13.688,48.189,0,,47.907,0,13.731,48.124,0,13.489,47.706,0,13.635,48.516,0,13.521,48.558,0,13.386,48.558
0,13.538,1:01.727,0,13.501,1:01.408,0,13.442,1:01.565,0,13.071,1:00.778,0,13.531,1:02.046,0,13.731,1:02.289,0,13.425,1:01.983
0,13.070,1:14.797,0,13.010,1:14.418,0,12.966,1:14.531,0,13.530,1:14.307,0,13.074,1:15.120,0,12.977,1:15.266,0,13.116,1:15.099
0,12.827,1:27.624,0,12.920,1:27.338,0,13.016,1:27.547,0,12.585,1:26.893,0,12.783,1:27.903,0,12.806,1:28.072,0,12.777,1:27.876
0,13.151,1:40.775,0,12.958,1:40.296,0,12.894,1:40.441,0,13.285,1:40.178,0,13.020,1:40.922,0,12.958,1:41.030,0,13.011,1:40.887
0,12.549,1:53.324,0,12.862,1:53.158,0,12.812,1:53.253,0,12.965,1:53.143,0,12.762,1:53.685,0,12.793,1:53.822,0,12.804,1:53.691
0,12.767,2:06.091,0,12.738,2:05.896,0,12.717,2:05.970,0,12.204,2:05.347,0,12.726,2:06.410,0,12.372,2:06.194,0,12.672,2:06.363
0,12.715,2:18.806,0,12.546,2:18.442,0,12.601,2:18.571,0,12.688,2:18.035,0,12.624,2:19.034,0,12.977,2:19.172,0,12.634,2:18.997
0,12.339,2:31.145,0,12.422,2:30.864,0,12.381,2:30.951,0,12.437,2:30.472,0,12.432,2:31.466,0,12.418,2:31.590,0,12.324,2:31.321
0,12.249,2:43.394,0,12.334,2:43.198,0,12.327,2:43.278,0,12.803,2:43.275,0,12.206,2:43.672,0,12.247,2:43.837,0,12.362,2:43.683
0,12.384,2:55.779,0,12.420,2:55.619,0,12.341,2:55.619,0,11.873,2:55.148,0,12.497,2:56.169,0,12.364,2:56.200,0,12.446,2:56.129
0,12.322,3:08.100,0,12.402,3:08.020,0,12.465,3:08.083,0,12.526,3:07.674,0,12.374,3:08.543,0,12.462,3:08.662,0,12.336,3:08.465
0,12.644,3:20.744,0,12.386,3:20.406,0,12.362,3:20.446,0,12.368,3:20.042,0,12.460,3:21.003,0,12.303,3:20.965,0,12.490,3:20.955
0,12.134,3:32.878,0,12.263,3:32.668,0,12.184,3:32.629,0,12.355,3:32.397,0,12.140,3:33.143,0,12.403,3:33.368,0,12.184,3:33.139
0,12.265,3:45.143,0,12.222,3:44.891,0,12.319,3:44.948,0,11.899,3:44.296,0,12.262,3:45.405,0,12.194,3:45.562,0,12.394,3:45.533
0,10.843,3:55.987,0,11.494,3:56.385,0,10.918,3:55.866,0,11.809,3:56.105,0,10.904,3:56.309,0,10.993,3:56.555,0,11.931,3:57.464
0,10.713,4:06.700,0,10.562,4:06.947,0,10.797,4:06.663,0,10.595,4:06.700,0,10.662,4:06.971,0,10.719,4:07.274,0,12.447,4:09.910
0,11.317,4:18.017,0,11.369,4:18.316,0,11.287,4:17.950,0,11.265,4:17.965,0,11.347,4:18.318,0,11.498,4:18.772,0,12.801,4:22.712
0,11.220,4:29.237,0,11.282,4:29.598,0,11.095,4:29.045,0,11.143,4:29.108,0,11.100,4:29.418,0,10.847,4:29.619,0,13.287,4:35.999
0,10.300,4:39.537,0,11.154,4:40.752,0,10.603,4:39.648,0,11.154,4:40.262,0,10.474,4:39.892,0,10.226,4:39.845,0,15.019,4:51.018
0,10.603,4:50.140,0,10.997,4:51.749,0,10.743,4:50.392,0,11.634,4:51.895,0,10.598,4:50.490,0,10.306,4:50.151,0,14.676,5:05.694
0,10.214,5:00.354,0,11.589,5:03.338,0,10.441,5:00.832,0,11.770,5:03.665,0,10.193,5:00.683,0,9.670,4:59.821,0,13.525,5:19.219
0,10.295,5:10.648,0,12.415,5:15.753,0,10.863,5:11.695,0,12.340,5:16.006,0,10.277,5:10.960,0,9.961,5:09.782,0,15.165,5:34.384
0,10.700,5:21.348,0,12.711,5:28.464,0,11.115,5:22.810,0,11.921,5:27.927,0,10.363,5:21.322,0,10.421,5:20.203,0,14.608,5:48.993
0,,,0,,,0,,,0,,,0,,,0,,,0,,
