KIM Si Un POSITION,KIM Si Un LAP TIME,KIM Si Un ELAPSED TIME,Maxime LAOUN POSITION,Maxime LAOUN LAP TIME,Maxime LAOUN ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME
2,7.02,7.02,1,6.84,6.84,3,7.04,7.04,4,7.21,7.21
2,9.11,16.13,1,9.05,15.89,3,9.21,16.25,4,9.14,16.35
2,8.50,24.63,1,8.50,24.39,3,8.42,24.67,4,8.58,24.93
3,8.75,33.38,1,8.63,33.02,2,8.51,33.18,4,8.73,33.66
3,8.81,42.175,1,8.76,41.78,2,8.67,41.85,4,8.98,42.626
