HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,6.73,6.73,3,6.97,6.97,2,6.76,6.76,4,7.08,7.08
1,8.78,15.51,3,8.82,15.79,2,8.91,15.67,4,8.80,15.88
2,8.41,23.92,3,8.26,24.05,1,8.24,23.91,4,8.17,24.05
3,8.59,32.51,4,24.75,48.80,1,8.44,32.35,2,8.36,32.41
3,8.77,41.271,0,,notime,1,8.65,40.991,2,8.60,41.007
