Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
3,12.737,12.737,1,12.443,12.443,5,13.040,13.040,2,12.508,12.508,4,12.872,12.872
3,9.462,22.198,1,9.493,21.935,5,9.502,22.542,2,9.538,22.046,4,9.512,22.384
4,9.714,31.912,1,9.497,31.431,5,9.406,31.947,2,9.524,31.569,3,9.471,31.854
3,9.388,41.299,1,9.551,40.982,5,9.678,41.625,2,9.600,41.168,4,9.588,41.441
3,9.483,50.781,2,9.763,50.745,5,9.554,51.178,1,9.474,50.641,4,9.539,50.980
2,9.311,1:00.092,3,9.653,1:00.398,5,9.571,1:00.749,1,9.134,59.775,4,9.664,1:00.644
2,9.317,1:09.408,3,9.883,1:10.280,5,9.904,1:10.652,1,9.453,1:09.228,4,9.830,1:10.473
1,9.557,1:18.965,3,10.134,1:20.414,5,10.325,1:20.977,2,9.859,1:19.086,4,10.152,1:20.625
1,9.80,1:28.761,4,10.74,1:31.148,5,11.03,1:32.000,2,10.08,1:29.157,3,10.39,1:31.014
