Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME
2,12.91,12.91,1,12.78,12.78,4,13.02,13.02,3,13.01,13.01,5,13.22,13.22
4,9.76,22.67,2,9.63,22.41,3,9.52,22.54,1,9.26,22.27,5,9.59,22.81
4,9.28,31.95,2,9.34,31.75,3,9.32,31.86,1,9.43,31.70,5,9.33,32.14
4,9.05,41.00,1,8.89,40.64,2,8.90,40.76,3,9.14,40.84,5,9.20,41.34
4,8.95,49.95,1,9.03,49.67,2,8.98,49.74,3,8.98,49.82,5,9.43,50.77
4,9.19,59.14,2,9.29,58.96,1,9.08,58.82,3,9.16,58.98,5,9.84,1:00.61
3,9.08,1:08.22,4,9.81,1:08.77,1,9.10,1:07.92,2,9.15,1:08.13,5,10.37,1:10.98
2,9.23,1:17.45,4,10.13,1:18.90,1,9.10,1:17.02,3,9.36,1:17.49,5,10.67,1:21.65
2,9.47,1:26.92,4,11.01,1:29.91,1,9.55,1:26.57,3,9.66,1:27.15,5,10.98,1:32.63
