Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,DALRYMPLE Georgie POSITION,DALRYMPLE Georgie LAP TIME,DALRYMPLE Georgie ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Tineke den DULK POSITION,Tineke den DULK LAP TIME,Tineke den DULK ELAPSED TIME
2,13.31,13.31,4,13.43,13.43,1,13.18,13.18,3,13.40,13.40,5,13.51,
2,9.59,22.90,3,9.58,23.01,1,9.62,22.80,5,9.91,23.31,4,9.63,
1,9.16,32.06,3,9.20,32.21,2,9.33,32.13,5,9.13,32.44,4,9.13,
1,9.71,41.77,3,9.75,41.96,2,9.72,41.85,5,9.76,42.20,4,9.81,
1,9.81,51.58,4,9.76,51.72,2,9.81,51.66,5,9.67,51.87,3,9.60,
1,9.89,1:01.47,2,9.88,1:01.60,4,23.73,1:15.39,3,9.89,1:01.76,5,32.63,
1,9.97,1:11.44,2,9.90,1:11.50,4,15.05,1:30.44,3,9.90,1:11.66,5,17.94,
1,9.93,1:21.37,2,9.94,1:21.44,4,14.50,1:44.94,3,9.91,1:21.57,5,13.17,
0,10.20,1:31.57,3,10.22,1:31.661,4,12.34,1:57.28,0,10.00,1:31.57,5,14.26,
