Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,LIN Wei POSITION,LIN Wei LAP TIME,LIN Wei ELAPSED TIME,Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME
1,9.38,9.38,6,9.85,9.85,3,9.58,9.58,5,9.73,9.73,4,9.64,9.64,2,9.49,9.49
1,13.77,23.15,6,13.89,23.74,3,13.84,23.42,4,13.76,23.49,5,13.96,23.60,2,13.80,23.29
3,12.78,35.93,6,12.52,36.26,2,12.38,35.80,5,12.59,36.08,1,11.79,35.39,4,12.78,36.07
3,11.18,47.11,6,11.22,47.48,2,11.23,47.03,5,11.26,47.34,1,11.30,46.69,4,11.18,47.25
4,11.48,58.59,6,11.40,58.88,2,11.41,58.44,5,11.32,58.66,1,11.59,58.28,3,11.34,58.59
2,10.70,1:09.29,6,10.80,1:09.68,5,11.10,1:09.54,1,10.54,1:09.20,3,11.04,1:09.32,4,10.75,1:09.34
1,10.23,1:19.52,6,10.41,1:20.09,5,10.37,1:19.91,2,10.39,1:19.59,3,10.38,1:19.70,4,10.48,1:19.82
1,10.72,1:30.24,6,10.63,1:30.72,5,10.66,1:30.57,2,10.75,1:30.34,4,10.75,1:30.45,3,10.55,1:30.37
1,10.64,1:40.88,6,10.65,1:41.37,4,10.57,1:41.14,2,10.60,1:40.94,5,10.75,1:41.20,3,10.68,1:41.05
2,10.49,1:51.37,6,10.64,1:52.01,4,10.30,1:51.44,1,10.36,1:51.30,5,10.57,1:51.77,3,10.34,1:51.39
3,10.10,2:01.47,6,10.86,2:02.87,4,10.18,2:01.62,2,9.93,2:01.23,5,10.26,2:02.03,1,9.54,2:00.93
3,9.63,2:11.10,6,11.70,2:14.57,4,9.82,2:11.44,2,9.81,2:11.04,5,10.77,2:12.80,1,9.78,2:10.71
2,9.58,2:20.68,6,12.25,2:26.82,4,9.97,2:21.41,3,9.76,2:20.80,5,11.28,2:24.08,1,9.80,2:20.51
2,9.92,2:30.594,6,12.73,2:39.543,4,10.29,2:31.693,3,9.87,2:30.663,5,11.55,2:35.627,1,9.99,2:30.494
