Courtney COBURN POSITION,Courtney COBURN LAP TIME,Courtney COBURN ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Rosalie TREMBLAY POSITION,Rosalie TREMBLAY LAP TIME,Rosalie TREMBLAY ELAPSED TIME,KONG Sangjeong POSITION,KONG Sangjeong LAP TIME,KONG Sangjeong ELAPSED TIME
4,8.18,8.18,1,7.63,7.63,3,7.82,7.82,2,7.72,7.72
4,10.56,18.74,1,9.98,17.61,3,9.99,17.81,2,9.97,17.69
4,10.45,29.19,2,9.48,27.09,3,9.37,27.18,1,9.39,27.08
3,10.78,39.97,2,9.96,37.05,4,31.12,58.30,1,9.59,36.67
3,11.13,51.099,2,9.98,47.027,0,,DNF,1,9.65,46.318
