Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
2,13.52,13.52,3,13.64,13.64,4,13.78,13.78,1,13.39,13.39
3,10.26,23.78,2,10.12,23.76,4,10.20,23.98,1,10.29,23.68
3,9.79,33.57,2,9.71,33.47,4,9.70,33.68,1,9.73,33.41
3,9.84,43.41,1,9.78,43.25,4,9.86,43.54,2,9.88,43.29
3,9.30,52.71,1,9.30,52.55,4,9.29,52.83,2,9.35,52.64
3,9.23,1:01.94,1,9.19,1:01.74,4,9.13,1:01.96,2,9.22,1:01.86
4,9.07,1:11.01,2,8.90,1:10.64,1,8.64,1:10.60,3,9.11,1:10.97
3,8.77,1:19.78,2,8.53,1:19.17,1,8.48,1:19.08,4,8.88,1:19.85
3,9.00,1:28.771,2,9.13,1:28.296,1,9.14,1:28.213,4,9.67,1:29.516
