Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME
1,15.40,15.40,3,15.69,15.69,2,15.58,15.58,4,15.85,15.85
2,12.23,27.63,3,12.10,27.79,1,11.94,27.52,4,12.07,27.92
3,11.38,39.01,2,11.07,38.86,1,11.34,38.86,4,11.20,39.12
3,10.20,49.21,1,10.25,49.11,2,10.35,49.21,4,10.20,49.32
1,9.54,58.75,2,9.79,58.90,4,9.94,59.15,3,9.69,59.01
1,9.45,1:08.20,2,9.42,1:08.32,4,9.42,1:08.57,3,9.44,1:08.45
2,8.99,1:17.19,1,8.86,1:17.18,4,9.05,1:17.62,3,8.98,1:17.43
2,9.00,1:26.19,1,8.80,1:25.98,4,9.21,1:26.83,3,8.88,1:26.31
2,8.91,1:35.095,1,8.95,1:34.928,4,9.41,1:36.236,3,8.94,1:35.242
