Julian WOOD POSITION,Julian WOOD LAP TIME,Julian WOOD ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Bharath ROSHAN POSITION,Bharath ROSHAN LAP TIME,Bharath ROSHAN ELAPSED TIME,Ansis ROBS POSITION,Ansis ROBS LAP TIME,Ansis ROBS ELAPSED TIME
1,6.93,6.93,2,7.25,7.25,4,8.55,8.55,3,7.30,7.30
1,9.54,16.47,2,9.41,16.66,4,12.61,21.16,3,9.40,16.70
1,9.11,25.58,2,9.05,25.71,4,12.39,33.55,3,9.06,25.76
1,9.40,34.98,3,9.40,35.11,4,13.48,47.03,2,9.30,35.06
0,,DQ,2,11.13,46.240,3,13.88,1:00.901,1,9.63,44.681
