BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME
1,15.29,15.29,2,15.30,15.30,4,15.42,15.42,3,15.34,15.34
4,11.44,26.73,1,11.03,26.33,3,11.16,26.58,2,11.11,26.45
4,10.23,36.96,2,10.31,36.64,1,9.92,36.50,3,10.31,36.76
4,9.52,46.48,3,9.61,46.25,1,9.66,46.16,2,9.48,46.24
4,9.17,55.65,2,9.25,55.50,1,9.33,55.49,3,9.32,55.56
4,9.11,1:04.76,1,8.87,1:04.37,2,9.07,1:04.56,3,9.08,1:04.64
3,8.79,1:13.55,1,8.99,1:13.36,2,8.89,1:13.45,4,9.03,1:13.67
2,8.84,1:22.39,1,8.92,1:22.28,3,9.05,1:22.50,4,8.89,1:22.56
2,8.77,1:31.149,1,8.85,1:31.120,3,9.19,1:31.675,4,9.24,1:31.780
