Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
1,8.530,8.530,2,8.680,8.680,3,8.770,8.770,4,9.000,9.000,5,9.090,9.090,6,9.410,9.410
3,12.780,21.320,1,12.470,21.150,4,12.570,21.350,5,12.590,21.590,6,12.610,21.710,2,11.750,21.170
4,11.420,32.740,2,11.370,32.530,1,10.820,32.170,5,11.220,32.820,6,11.320,33.040,3,11.510,32.680
5,10.400,43.150,2,10.390,42.930,1,10.730,42.900,4,10.300,43.120,6,10.200,43.240,3,10.330,43.020
4,9.640,52.790,1,9.570,52.500,2,9.780,52.690,3,9.570,52.700,5,9.570,52.810,6,10.100,53.120
5,9.710,1:02.500,3,9.840,1:02.350,1,9.590,1:02.280,2,9.610,1:02.310,4,9.610,1:02.420,6,9.480,1:02.610
6,10.260,1:12.770,2,10.050,1:12.400,4,10.310,1:12.590,1,10.020,1:12.330,5,10.300,1:12.730,3,9.800,1:12.410
6,10.310,1:23.080,2,10.090,1:22.500,4,10.120,1:22.720,1,9.950,1:22.280,5,10.270,1:23.000,3,10.150,1:22.570
6,9.550,1:32.630,1,9.860,1:32.370,4,9.880,1:32.610,5,10.320,1:32.610,2,9.460,1:32.460,3,10.010,1:32.580
6,10.190,1:42.830,1,9.950,1:42.320,5,10.050,1:42.660,2,9.780,1:42.390,3,10.060,1:42.520,4,9.970,1:42.560
6,9.860,1:52.690,1,9.970,1:52.290,2,9.650,1:52.320,3,9.990,1:52.390,5,10.050,1:52.580,4,9.940,1:52.500
5,9.870,2:02.570,1,9.890,2:02.190,3,10.210,2:02.530,6,10.730,2:03.120,3,9.950,2:02.530,2,9.950,2:02.460
5,9.790,2:12.370,1,9.480,2:11.670,6,14.480,2:17.020,3,8.860,2:11.990,4,9.450,2:11.990,2,9.480,2:11.940
5,9.720,2:22.090,1,9.840,2:21.520,6,15.770,2:32.790,4,9.980,2:21.970,3,9.730,2:21.720,2,9.690,2:21.630
