HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
1,12.45,12.45,2,12.55,12.55,4,12.64,12.64,5,12.75,12.75,3,12.60,12.60
1,9.67,22.12,2,9.69,22.24,3,9.70,22.34,4,9.69,22.44,5,9.93,22.53
2,9.26,31.38,1,9.02,31.26,3,9.14,31.48,4,9.15,31.59,5,9.27,31.80
2,8.96,40.34,1,8.99,40.25,3,8.95,40.43,4,8.94,40.53,5,8.83,40.63
1,8.74,49.08,2,8.93,49.18,4,8.92,49.35,3,8.71,49.24,5,8.87,49.50
1,8.98,58.06,2,8.98,58.16,4,9.02,58.37,3,9.01,58.25,5,8.96,58.46
1,8.91,1:06.97,2,8.93,1:07.09,4,8.98,1:07.35,3,8.96,1:07.21,5,9.13,1:07.59
1,8.90,1:15.87,2,8.89,1:15.98,4,8.92,1:16.27,3,9.00,1:16.21,5,9.52,1:17.11
1,9.00,1:24.862,2,9.02,1:24.996,3,9.09,1:25.352,4,9.42,1:25.623,5,10.22,1:27.330
