HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Tereza PFEIFEROVA POSITION,Tereza PFEIFEROVA LAP TIME,Tereza PFEIFEROVA ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME
2,9.93,,4,10.36,10.36,5,10.43,,3,10.08,10.08,1,9.71,9.71
2,14.32,,4,14.14,24.50,5,14.18,,3,14.30,24.38,1,14.39,24.10
2,13.81,,4,13.82,38.32,5,13.81,,3,13.81,38.19,1,13.83,37.93
2,13.35,,4,13.35,51.67,5,13.32,,3,13.34,51.53,1,13.38,51.31
2,13.27,,4,13.26,1:04.93,5,13.31,,3,13.27,1:04.80,1,13.25,1:04.56
3,12.54,,5,12.47,1:17.40,1,12.03,,4,12.52,1:17.32,2,12.55,1:17.11
4,11.12,,1,10.69,1:28.09,2,11.05,,5,11.17,1:28.49,3,11.13,1:28.24
4,10.66,,1,10.71,1:38.80,3,10.80,,5,10.58,1:39.07,2,10.62,1:38.86
2,9.57,,3,9.81,1:48.61,1,9.49,,5,9.76,1:48.83,4,9.77,1:48.63
1,9.23,,4,9.58,1:58.19,2,9.47,,5,9.49,1:58.32,3,9.49,1:58.12
1,9.59,,3,9.36,2:07.55,2,9.52,,5,9.51,2:07.83,4,9.54,2:07.66
5,29.55,,1,9.63,2:17.18,3,10.26,,3,9.84,2:17.67,2,9.67,2:17.33
5,14.56,,1,9.59,2:26.77,4,10.67,,3,9.89,2:27.56,2,9.79,2:27.12
5,14.64,3:06.14,1,9.85,2:36.62,4,11.48,,3,9.97,2:37.53,2,10.10,2:37.22
