KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
3,7.21,7.21,1,6.94,6.94,2,7.07,7.07,4,7.34,7.34
3,9.21,16.42,1,9.30,16.24,2,9.25,16.32,4,9.17,16.51
3,8.73,25.15,2,8.88,25.12,1,8.73,25.05,4,8.78,25.29
2,8.79,33.94,3,8.90,34.02,1,8.80,33.85,4,8.83,34.12
2,8.83,42.767,3,8.85,42.866,1,8.79,42.639,4,8.84,42.954
