Noah ESSAGHIR POSITION,Noah ESSAGHIR LAP TIME,Noah ESSAGHIR ELAPSED TIME,Arno JASPERS POSITION,Arno JASPERS LAP TIME,Arno JASPERS ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
3,7.429,7.429,1,7.114,7.114,4,7.489,7.489,5,7.662,7.662,2,7.336,7.336
5,9.967,17.396,1,9.520,16.634,4,9.554,17.043,3,9.310,16.971,2,9.583,16.919
5,9.384,26.780,1,9.408,26.042,3,9.131,26.173,4,9.363,26.334,2,9.252,26.172
5,9.627,36.407,2,9.509,35.551,3,9.558,35.731,4,9.485,35.819,1,9.337,35.509
5,9.836,46.243,3,9.807,45.358,2,9.569,45.300,4,9.620,45.439,1,9.443,44.952
