Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME
3,13.45,13.45,2,13.27,13.27,1,13.11,13.11,4,13.53,13.53
3,10.27,23.73,4,10.95,24.22,1,10.18,23.30,2,10.16,23.70
2,9.79,33.53,4,9.64,33.87,1,9.89,33.19,3,9.86,33.56
2,9.60,43.14,4,9.47,43.34,1,9.84,43.03,3,9.70,43.26
3,9.69,52.83,4,9.63,52.98,1,9.58,52.62,2,9.51,52.77
3,9.63,1:02.46,4,9.62,1:02.60,1,9.57,1:02.19,2,9.51,1:02.28
2,9.63,1:12.09,4,9.65,1:12.25,1,9.80,1:11.99,3,9.85,1:12.14
3,9.94,1:22.04,4,9.92,1:22.17,1,9.87,1:21.87,2,9.73,1:21.88
0,,DQ,3,10.26,1:32.430,1,10.18,1:32.046,2,10.38,1:32.255
