Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME
1,14.747,14.747,2,14.928,14.928,4,15.160,15.160,3,15.025,15.025
1,11.906,26.653,2,11.937,26.864,4,11.897,27.057,3,11.961,26.985
2,11.353,38.006,1,11.085,37.948,4,11.116,38.173,3,11.156,38.141
2,10.085,48.090,1,10.082,48.030,4,10.093,48.265,3,10.002,48.142
1,9.397,57.487,2,9.494,57.523,4,9.428,57.693,3,9.437,57.579
2,9.135,1:06.622,3,9.263,1:06.786,4,9.242,1:06.934,1,8.957,1:06.536
2,9.162,1:15.783,4,9.179,1:15.964,3,9.023,1:15.956,1,9.148,1:15.684
2,9.424,1:25.207,3,9.335,1:25.299,4,9.480,1:25.436,1,9.431,1:25.114
2,9.63,1:34.831,3,9.68,1:34.979,4,9.59,1:35.025,1,9.62,1:34.728
