Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
1,9.18,9.18,2,9.29,9.29,3,9.44,9.44,6,9.73,9.73,4,9.49,9.49,5,9.58,9.58
1,12.37,21.55,2,12.30,21.59,5,12.39,21.83,6,12.26,21.99,4,12.34,21.83,3,12.13,21.71
1,11.69,33.24,2,11.73,33.32,4,11.75,33.58,6,11.82,33.81,5,11.86,33.69,3,11.78,33.49
1,11.84,45.08,3,11.85,45.17,2,11.57,45.15,6,11.78,45.59,5,11.73,45.42,4,11.82,45.31
2,10.05,55.13,4,10.11,55.28,1,9.89,55.04,6,10.10,55.69,5,10.15,55.57,3,9.90,55.21
2,10.78,1:05.91,3,10.68,1:05.96,1,10.77,1:05.81,6,10.62,1:06.31,5,10.60,1:06.17,4,10.81,1:06.02
1,10.21,1:16.12,3,10.27,1:16.23,2,10.34,1:16.15,6,10.19,1:16.50,5,10.26,1:16.43,4,10.28,1:16.30
1,9.69,1:25.81,4,10.02,1:26.25,3,10.06,1:26.21,5,9.84,1:26.34,6,10.14,1:26.57,2,9.88,1:26.18
2,9.74,1:35.55,4,10.23,1:36.48,5,10.49,1:36.70,1,9.18,1:35.52,6,10.27,1:36.84,3,9.48,1:35.66
3,9.66,1:45.21,4,10.46,1:46.94,6,10.46,1:47.16,1,9.44,1:44.96,5,10.32,1:47.16,2,9.39,1:45.05
3,9.76,1:54.97,5,10.80,1:57.74,6,11.11,1:58.27,1,9.82,1:54.78,4,10.56,1:57.72,2,9.81,1:54.86
3,9.88,2:04.85,5,11.18,2:08.92,6,11.64,2:09.91,1,9.87,2:04.65,4,10.79,2:08.51,2,9.82,2:04.68
3,9.91,2:14.76,5,11.61,2:20.53,6,12.24,2:22.15,1,9.86,2:14.51,4,11.01,2:19.52,2,9.95,2:14.63
3,10.04,2:24.800,5,12.06,2:32.586,6,12.65,2:34.798,1,10.10,2:24.601,4,11.51,2:31.024,2,10.06,2:24.681
