Thomas de WITTE POSITION,Thomas de WITTE LAP TIME,Thomas de WITTE ELAPSED TIME,Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,HOULAHAN Lee POSITION,HOULAHAN Lee LAP TIME,HOULAHAN Lee ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,7.059,7.059,2,7.076,7.076,3,7.125,7.125,4,7.572,7.572
1,9.620,16.678,2,9.681,16.757,3,9.767,16.891,4,9.523,17.094
1,9.171,25.849,2,9.165,25.922,4,9.398,26.289,3,8.921,26.015
2,9.389,35.237,3,9.401,35.322,4,9.280,35.568,1,9.147,35.161
3,9.64,44.873,2,9.45,44.769,4,9.76,45.322,1,9.17,44.328
