Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Alvaro PENA POSITION,Alvaro PENA LAP TIME,Alvaro PENA ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
1,6.95,6.95,3,7.41,7.41,4,7.49,7.49,2,7.08,7.08
1,9.24,16.19,4,9.86,17.27,3,9.37,16.86,2,9.18,16.26
1,8.77,24.96,4,9.47,26.74,3,8.94,25.80,2,8.76,25.02
1,8.86,33.82,4,9.62,36.36,3,9.05,34.85,2,8.86,33.88
2,9.01,42.822,4,9.84,46.191,3,9.12,43.962,1,8.90,42.776
