UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME
0,12.028,12.028,0,12.061,12.061,0,12.364,12.364,0,12.131,12.131
0,9.376,21.404,0,9.401,21.462,0,9.258,21.623,0,9.556,21.687
0,8.799,30.203,0,9.093,30.555,0,9.116,30.739,0,9.078,30.764
0,9.107,39.311,0,9.044,39.598,0,9.080,39.819,0,9.030,39.794
0,9.092,48.403,0,8.973,48.571,0,9.045,48.863,0,9.118,48.912
0,9.143,57.546,0,8.989,57.560,0,8.886,57.749,0,8.795,57.707
0,9.158,1:06.703,0,9.147,1:06.707,0,9.315,1:07.064,0,9.434,1:07.141
0,9.188,1:15.892,0,9.291,1:15.998,0,8.960,1:16.024,0,9.165,1:16.306
0,8.837,1:24.729,0,9.015,1:25.013,0,8.912,1:24.936,0,8.920,1:25.226
0,8.883,1:33.612,0,8.882,1:33.895,0,8.921,1:33.857,0,8.847,1:34.073
0,9.245,1:42.857,0,9.089,1:42.984,0,9.076,1:42.932,0,9.019,1:43.092
0,9.190,1:52.047,0,9.326,1:52.311,0,9.174,1:52.106,0,9.291,1:52.383
0,9.275,2:01.322,0,9.007,2:01.318,0,9.093,2:01.199,0,9.011,2:01.394
0,8.871,2:10.193,0,9.285,2:10.603,0,9.024,2:10.223,0,9.047,2:10.441
0,8.920,2:19.113,0,8.918,2:19.520,0,8.911,2:19.135,0,8.778,2:19.219
0,8.917,2:28.030,0,8.924,2:28.444,0,9.704,2:28.839,0,8.922,2:28.141
0,9.173,2:37.202,0,9.246,2:37.690,0,9.868,2:38.706,0,9.193,2:37.334
0,9.565,2:46.767,0,9.010,2:46.700,0,8.997,2:47.704,0,8.958,2:46.292
0,8.816,2:55.583,0,9.069,2:55.769,0,8.913,2:56.617,0,8.998,2:55.290
0,8.957,3:04.541,0,8.955,3:04.724,0,8.819,3:05.436,0,8.804,3:04.094
0,8.838,3:13.378,0,8.919,3:13.643,0,8.958,3:14.393,0,8.934,3:13.028
0,8.988,3:22.366,0,9.091,3:22.735,0,9.247,3:23.640,0,9.027,3:22.055
0,8.993,3:31.359,0,9.433,3:32.168,0,9.179,3:32.819,0,8.850,3:30.905
0,9.630,3:40.988,0,9.124,3:41.291,0,9.224,3:42.043,0,9.010,3:39.914
0,9.007,3:49.996,0,9.169,3:50.461,0,9.180,3:51.223,0,9.085,3:49.000
0,9.463,3:59.458,0,9.001,3:59.462,0,8.916,4:00.138,0,9.011,3:58.011
0,8.698,4:08.156,0,19.513,4:18.975,0,9.190,4:09.328,0,9.086,4:07.097
0,9.162,4:17.318,0,9.520,4:28.495,0,9.729,4:19.057,0,9.160,4:16.257
0,9.228,4:26.546,0,9.362,4:37.856,0,9.313,4:28.370,0,9.067,4:25.324
0,9.588,4:36.134,0,10.119,4:47.975,0,9.492,4:37.862,0,9.119,4:34.443
0,9.270,4:45.404,0,10.037,4:58.012,0,9.260,4:47.122,0,9.167,4:43.609
0,9.264,4:54.668,0,9.489,5:07.501,0,9.270,4:56.392,0,9.151,4:52.760
0,9.081,5:03.749,0,9.806,5:17.307,0,8.973,5:05.365,0,9.094,5:01.854
0,9.282,5:13.031,0,9.634,5:26.941,0,9.570,5:14.935,0,9.081,5:10.935
0,9.425,5:22.456,0,9.619,5:36.560,0,9.191,5:24.127,0,9.245,5:20.180
0,9.575,5:32.030,0,10.098,5:46.658,0,9.375,5:33.502,0,9.423,5:29.602
0,9.324,5:41.355,0,10.175,5:56.833,0,9.383,5:42.885,0,9.163,5:38.766
0,9.612,5:50.966,0,9.931,6:06.764,0,9.394,5:52.278,0,9.354,5:48.119
0,8.998,5:59.964,0,9.615,6:16.379,0,9.131,6:01.410,0,9.357,5:57.477
0,9.400,6:09.364,0,9.404,6:25.783,0,9.409,6:10.819,0,9.426,6:06.903
0,9.496,6:18.860,0,9.590,6:35.373,0,9.265,6:20.083,0,9.296,6:16.199
0,9.547,6:28.407,0,10.457,6:45.830,0,9.632,6:29.715,0,9.140,6:25.339
0,9.531,6:37.938,0,10.126,6:55.956,0,9.746,6:39.461,0,9.072,6:34.411
0,9.471,6:47.409,0,9.645,7:05.601,0,9.231,6:48.692,0,9.129,6:43.540
0,9.525,6:56.934,0,10.124,7:15.725,0,9.782,6:58.473,0,9.515,6:53.056
