DOAK Rikki POSITION,DOAK Rikki LAP TIME,DOAK Rikki ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,LEE Yu Bin POSITION,LEE Yu Bin LAP TIME,LEE Yu Bin ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME
1,7.32,7.32,2,7.38,7.38,3,7.55,7.55,5,7.81,7.81,4,7.73,7.73
1,9.46,16.78,2,9.44,16.82,3,9.37,16.92,5,9.36,17.17,4,9.29,17.02
1,8.85,25.63,2,8.93,25.75,3,8.84,25.76,5,8.77,25.94,4,8.85,25.87
2,9.01,34.64,1,8.85,34.60,3,8.97,34.73,4,9.12,35.06,5,9.29,35.16
3,9.35,43.990,1,9.04,43.64,2,9.15,43.88,4,9.16,44.226,5,9.29,44.455
