STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,ECKSTEIN Lisa POSITION,ECKSTEIN Lisa LAP TIME,ECKSTEIN Lisa ELAPSED TIME,Tereza PFEIFEROVA POSITION,Tereza PFEIFEROVA LAP TIME,Tereza PFEIFEROVA ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME
3,10.60,10.60,6,11.13,11.13,1,10.31,10.31,2,10.43,10.43,5,10.92,10.92,4,10.72,10.72
4,15.44,26.04,6,15.27,26.40,2,15.50,25.81,3,15.46,25.89,5,15.27,26.19,1,14.98,25.70
4,15.96,42.00,6,15.88,42.28,2,15.88,41.69,3,15.93,41.82,5,15.85,42.04,1,15.85,41.55
4,16.43,58.43,6,16.55,58.83,2,16.50,58.19,3,16.45,58.27,5,16.53,58.57,1,16.52,58.07
4,17.06,1:15.49,6,17.08,1:15.91,2,17.07,1:15.26,3,17.11,1:15.38,5,17.09,1:15.66,1,17.04,1:15.11
2,14.48,1:29.97,6,14.50,1:30.41,3,14.79,1:30.05,5,14.80,1:30.18,4,14.40,1:30.06,1,14.85,1:29.96
1,10.96,1:40.93,6,11.00,1:41.41,5,11.14,1:41.19,4,11.00,1:41.18,3,11.05,1:41.11,2,11.06,1:41.02
1,10.10,1:51.03,6,10.06,1:51.47,5,10.14,1:51.33,3,10.01,1:51.19,3,10.08,1:51.19,2,10.10,1:51.12
1,9.86,2:00.89,5,9.76,2:01.23,4,9.84,2:01.17,6,10.08,2:01.27,3,9.90,2:01.09,2,9.86,2:00.98
2,9.74,2:10.63,1,9.34,2:10.57,5,9.78,2:10.95,6,9.72,2:10.99,4,9.74,2:10.83,3,9.74,2:10.72
2,9.45,2:20.08,1,9.18,2:19.75,5,9.54,2:20.49,6,9.86,2:20.85,4,9.45,2:20.28,3,9.45,2:20.17
2,9.56,2:29.64,1,9.53,2:29.28,5,9.41,2:29.90,6,10.13,2:30.98,3,9.45,2:29.73,3,9.56,2:29.73
2,9.84,2:39.48,1,9.86,2:39.14,5,9.90,2:39.80,6,10.95,2:41.93,3,9.85,2:39.58,4,9.96,2:39.69
2,10.05,2:49.53,1,10.18,2:49.32,4,9.89,2:49.696,6,11.78,2:53.719,3,9.98,2:49.56,5,10.48,2:50.170
