Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME,Shota UEMURA POSITION,Shota UEMURA LAP TIME,Shota UEMURA ELAPSED TIME,Mikhail-Jeonghan CHOI POSITION,Mikhail-Jeonghan CHOI LAP TIME,Mikhail-Jeonghan CHOI ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Robin van STEEN POSITION,Robin van STEEN LAP TIME,Robin van STEEN ELAPSED TIME
3,13.62,13.62,1,13.41,13.41,4,13.73,13.73,2,13.61,13.61,5,13.81,13.81
2,10.78,24.40,1,10.82,24.23,5,10.87,24.60,3,10.83,24.44,4,10.75,24.56
1,10.11,34.51,2,10.30,34.53,4,10.17,34.77,3,10.29,34.73,5,10.36,34.92
3,10.04,44.55,2,9.87,44.40,1,9.53,44.30,4,9.97,44.70,5,9.94,44.86
3,9.53,54.08,2,9.67,54.07,1,9.63,53.93,4,9.58,54.28,5,10.00,54.86
4,10.06,1:04.14,2,9.73,1:03.80,1,9.79,1:03.72,3,9.79,1:04.07,5,10.39,1:05.25
3,10.16,1:14.30,2,9.84,1:13.64,1,9.64,1:13.36,4,10.47,1:14.54,5,11.50,1:16.75
5,23.50,1:37.80,2,9.84,1:23.48,1,10.02,1:23.38,3,11.01,1:25.55,4,11.83,1:28.58
5,25.40,2:03.199,2,10.32,1:33.797,1,10.42,1:33.794,3,11.75,1:37.291,4,12.40,1:40.979
