Benoit ANTERIEUX POSITION,Benoit ANTERIEUX LAP TIME,Benoit ANTERIEUX ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,MA Yunfeng POSITION,MA Yunfeng LAP TIME,MA Yunfeng ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Miodrag POPOVIC POSITION,Miodrag POPOVIC LAP TIME,Miodrag POPOVIC ELAPSED TIME
0,8.000,8.000,0,8.515,8.515,0,,,0,8.960,8.960,0,8.485,8.485,0,8.055,8.055
0,12.045,20.045,0,11.639,20.154,0,,20.103,0,11.475,20.436,0,11.708,20.192,0,11.849,19.904
0,16.422,36.466,0,11.367,31.520,0,11.418,31.521,0,11.364,31.800,0,11.471,31.663,0,11.334,31.238
0,,,0,11.653,43.174,0,11.668,43.189,0,11.649,43.448,0,11.338,43.001,0,12.835,44.073
0,,54.316,0,11.349,54.523,0,11.224,54.413,0,11.231,54.679,0,11.581,54.581,0,10.408,54.481
0,10.835,1:05.151,0,10.780,1:05.303,0,10.785,1:05.198,0,10.334,1:05.013,0,10.711,1:05.292,0,11.098,1:05.579
0,10.772,1:15.922,0,10.325,1:15.628,0,10.493,1:15.691,0,10.520,1:15.533,0,10.542,1:15.834,0,10.965,1:16.544
0,10.035,1:25.957,0,10.514,1:26.142,0,10.567,1:26.258,0,10.594,1:26.127,0,10.629,1:26.464,0,10.510,1:27.054
0,10.498,1:36.454,0,10.364,1:36.506,0,10.202,1:36.460,0,10.301,1:36.428,0,10.151,1:36.615,0,11.286,1:38.340
0,10.206,1:46.660,0,9.749,1:46.255,0,9.919,1:46.379,0,10.385,1:46.814,0,9.633,1:46.248,0,11.598,1:49.938
0,9.955,1:56.615,0,9.766,1:56.021,0,9.713,1:56.092,0,9.887,1:56.701,0,9.965,1:56.213,0,11.692,2:01.630
0,10.090,2:06.705,0,9.651,2:05.671,0,9.701,2:05.792,0,9.454,2:06.155,0,9.597,2:05.810,0,11.682,2:13.312
0,10.374,2:17.079,0,10.365,2:16.036,0,10.224,2:16.016,0,9.466,2:15.621,0,26.976,2:32.786,0,11.885,2:25.197
0,,,0,,,0,,,0,,,0,,,0,,
