Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME
1,13.31,13.31,5,13.96,13.96,3,13.55,13.55,2,13.36,13.36,4,13.59,13.59
2,10.51,23.82,5,10.24,24.20,3,10.39,23.94,4,10.62,23.98,1,9.96,23.56
4,10.16,33.99,5,10.18,34.38,3,10.03,33.97,2,9.98,33.97,1,10.23,33.79
3,10.91,44.90,5,10.66,45.05,4,10.95,44.93,2,10.82,44.79,1,10.70,44.49
4,10.18,55.08,5,10.46,55.51,2,9.94,54.87,3,10.28,55.08,1,10.26,54.76
4,9.91,1:05.00,5,10.25,1:05.77,1,9.70,1:04.57,3,9.68,1:04.76,2,9.87,1:04.64
4,10.28,1:15.28,5,10.84,1:16.61,2,9.95,1:14.53,3,9.96,1:14.72,1,9.87,1:14.51
4,10.39,1:25.68,5,9.27,1:25.88,1,9.69,1:24.23,3,10.18,1:24.90,2,10.27,1:24.78
4,10.67,1:36.350,5,13.59,1:39.463,1,10.01,1:34.234,3,10.57,1:35.464,2,10.59,1:35.365
