LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME
2,13.49,13.49,3,13.62,13.62,6,14.04,14.04,4,13.80,13.80,1,13.32,13.32,5,13.93,13.93
2,9.72,23.21,3,9.74,23.36,6,9.67,23.71,4,9.69,23.49,1,9.72,23.04,5,9.66,23.59
2,9.45,32.66,3,9.43,32.79,6,9.43,33.14,4,9.43,32.92,1,9.43,32.47,5,9.44,33.03
2,9.22,41.88,3,9.22,42.01,6,9.23,42.37,4,9.11,42.03,1,9.24,41.71,5,9.17,42.20
1,9.17,51.05,5,9.44,51.45,6,9.09,51.46,3,9.16,51.19,2,9.41,51.12,4,9.10,51.30
1,9.16,1:00.21,6,9.54,1:00.99,5,9.29,1:00.75,2,9.21,1:00.40,4,9.58,1:00.70,3,9.39,1:00.69
1,9.09,1:09.30,6,9.56,1:10.55,4,9.22,1:09.97,2,9.02,1:09.42,5,9.67,1:10.37,3,8.83,1:09.52
3,9.24,1:18.54,5,9.73,1:20.28,4,9.35,1:19.32,1,9.01,1:18.43,6,10.16,1:20.53,2,8.93,1:18.45
3,9.52,1:28.063,5,10.11,1:30.395,4,9.93,1:29.254,2,9.15,1:27.58,6,10.69,1:31.223,1,8.98,1:27.43
