Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
1,6.81,6.81,3,7.10,7.10,2,6.90,6.90,4,7.24,7.24
1,9.25,16.06,3,9.13,16.23,2,9.26,16.16,4,9.22,16.46
1,8.79,24.85,3,8.74,24.97,2,8.77,24.93,4,8.65,25.11
1,8.94,33.79,3,9.00,33.97,2,8.94,33.87,4,8.95,34.06
2,9.20,42.984,3,9.05,43.014,1,9.10,42.961,4,9.30,43.360
