Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
2,7.78,7.78,1,7.66,7.66,4,8.04,8.04,3,7.90,7.90,5,8.13,8.13,6,8.29,8.29
2,11.49,19.27,1,11.48,19.14,4,11.43,19.47,3,11.47,19.37,5,11.42,19.55,6,11.34,19.63
2,11.49,30.76,1,11.51,30.65,4,11.49,30.96,3,11.49,30.86,5,11.52,31.07,6,11.57,31.20
2,11.17,41.93,1,11.16,41.81,4,11.20,42.16,3,11.19,42.05,6,11.17,42.24,5,11.00,42.20
3,10.95,52.88,1,10.99,52.80,5,11.04,53.20,4,11.03,53.08,6,11.06,53.30,2,10.68,52.88
2,10.73,1:03.61,1,10.75,1:03.55,5,10.76,1:03.96,4,10.77,1:03.85,6,10.73,1:04.03,3,10.86,1:03.74
1,10.42,1:14.03,2,10.55,1:14.10,5,10.49,1:14.45,4,10.49,1:14.34,6,10.52,1:14.55,3,10.49,1:14.23
3,9.78,1:23.81,2,9.70,1:23.80,4,9.43,1:23.88,1,9.43,1:23.77,6,9.58,1:24.13,5,9.75,1:23.98
4,9.28,1:33.09,2,9.04,1:32.84,3,9.08,1:32.96,1,8.99,1:32.76,6,9.15,1:33.28,5,9.29,1:33.27
5,9.46,1:42.55,2,9.43,1:42.27,3,9.48,1:42.44,1,9.51,1:42.27,4,9.21,1:42.49,6,9.41,1:42.68
5,9.82,1:52.37,1,9.30,1:51.57,3,9.39,1:51.83,2,9.44,1:51.71,4,9.43,1:51.92,6,29.41,2:12.09
5,9.48,2:01.85,2,9.50,2:01.07,3,9.38,2:01.21,1,9.32,2:01.03,4,9.39,2:01.31,6,28.63,2:40.72
5,9.76,2:11.61,3,9.60,2:10.67,2,9.35,2:10.56,1,9.39,2:10.42,4,9.56,2:10.87,6,16.72,2:57.44
4,10.57,2:22.179,0,,PEN,2,10.13,2:20.687,1,9.59,2:20.005,3,9.88,2:20.747,0,,PEN
