Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
2,15.220,15.220,3,15.436,15.436,4,15.600,15.600,1,15.135,15.135
1,12.046,27.265,4,12.088,27.523,3,11.796,27.396,2,12.190,27.324
1,10.646,37.911,3,10.631,38.154,4,10.840,38.236,2,10.699,38.023
2,10.130,48.040,4,10.032,48.185,1,9.762,47.997,3,10.038,48.060
1,9.447,57.486,3,9.640,57.825,4,9.843,57.839,2,9.638,57.698
1,9.258,1:06.744,3,9.440,1:07.265,4,9.496,1:07.335,2,9.427,1:07.124
1,9.294,1:16.038,2,9.102,1:16.367,4,9.402,1:16.737,3,9.347,1:16.470
1,9.206,1:25.244,2,9.238,1:25.604,4,9.301,1:26.037,3,9.319,1:25.789
3,10.06,1:35.301,1,9.59,1:35.185,4,9.64,1:35.674,2,9.47,1:35.256
