Aleksandr KOVAL POSITION,Aleksandr KOVAL LAP TIME,Aleksandr KOVAL ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Istvan GAL ORAVECZ POSITION,Istvan GAL ORAVECZ LAP TIME,Istvan GAL ORAVECZ ELAPSED TIME,Damiano GIULIANI POSITION,Damiano GIULIANI LAP TIME,Damiano GIULIANI ELAPSED TIME
1,6.70,6.70,2,7.10,7.10,5,7.35,7.35,3,7.16,7.16,4,7.17,7.17
1,8.91,15.61,4,9.11,16.21,5,8.95,16.30,2,8.81,15.97,3,8.80,15.97
2,8.72,24.33,1,8.08,24.29,4,8.43,24.73,3,8.42,24.39,5,9.43,25.40
2,8.82,33.15,1,8.79,33.08,3,8.48,33.21,4,9.04,33.43,5,8.04,33.44
3,8.99,42.139,1,8.89,41.970,2,8.87,42.076,4,9.05,42.478,5,10.18,43.613
