HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
2,12.90,12.90,3,12.99,12.99,1,12.79,12.79,4,13.04,13.04,5,13.33,13.33
3,9.33,22.23,3,9.24,22.23,1,9.21,22.00,2,9.08,22.12,5,9.14,22.47
4,9.00,31.23,3,8.99,31.22,1,9.03,31.03,2,9.01,31.13,5,8.94,31.41
1,8.74,39.97,4,8.91,40.13,1,8.94,39.97,3,8.94,40.07,5,8.89,40.30
1,8.75,48.72,3,8.78,48.91,2,8.85,48.82,4,8.94,49.01,5,8.82,49.12
2,8.96,57.68,5,9.01,57.92,1,8.79,57.61,3,8.81,57.82,4,8.78,57.90
2,9.01,1:06.69,5,9.11,1:07.03,1,8.96,1:06.57,3,8.97,1:06.79,4,9.02,1:06.92
2,9.20,1:15.89,5,9.11,1:16.14,1,9.21,1:15.78,4,9.21,1:16.00,3,9.04,1:15.96
3,9.42,1:25.31,4,9.27,1:25.417,2,9.39,1:25.17,5,9.74,1:25.740,1,9.03,1:24.99
