Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME
2,13.53,13.53,3,13.71,13.71,1,13.45,13.45,4,13.85,13.85
2,10.73,24.26,3,10.68,24.39,1,10.71,24.16,4,10.63,24.48
2,10.85,35.11,3,10.85,35.24,1,10.86,35.02,4,10.85,35.33
1,10.72,45.83,3,10.68,45.92,2,10.83,45.85,4,10.62,45.95
1,10.22,56.05,2,10.23,56.15,3,10.38,56.23,4,10.34,56.29
1,10.30,1:06.35,2,10.33,1:06.48,3,10.37,1:06.60,4,10.42,1:06.71
1,10.13,1:16.48,2,10.14,1:16.62,3,10.36,1:16.96,4,10.58,1:17.29
1,10.13,1:26.61,2,10.12,1:26.74,3,10.82,1:27.78,4,11.02,1:28.31
2,10.28,1:36.881,1,10.14,1:36.878,3,11.54,1:39.312,4,12.18,1:40.483
