Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,Jakov DOMITREK POSITION,Jakov DOMITREK LAP TIME,Jakov DOMITREK ELAPSED TIME,Tamas ANTAL POSITION,Tamas ANTAL LAP TIME,Tamas ANTAL ELAPSED TIME
1,12.02,12.02,2,12.12,12.12,3,12.22,12.22,4,12.57,12.57,5,12.98,12.98
1,9.16,21.18,2,9.16,21.28,3,9.14,21.36,4,9.49,22.06,5,9.26,22.24
2,9.28,30.46,1,9.08,30.36,3,9.20,30.56,5,9.63,31.69,4,9.19,31.43
2,9.04,39.50,1,9.04,39.40,3,9.04,39.60,5,9.68,41.37,4,9.59,41.02
2,9.08,48.58,1,9.03,48.43,3,9.06,48.66,5,9.83,51.20,4,9.80,50.82
2,9.14,57.72,1,9.06,57.49,3,9.14,57.80,5,9.98,1:01.18,4,10.18,1:01.00
3,9.43,1:07.15,1,9.20,1:06.69,2,9.12,1:06.92,4,10.16,1:11.34,5,10.89,1:11.89
3,9.69,1:16.84,1,9.50,1:16.19,2,9.51,1:16.43,4,10.50,1:21.84,5,12.14,1:24.03
3,9.95,1:26.79,1,9.68,1:25.87,2,9.72,1:26.15,4,10.90,1:32.708,5,13.34,1:37.342
