Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
1,13.24,13.24,2,13.38,13.38,3,13.60,13.60
1,9.91,23.15,2,9.89,23.27,3,9.76,23.36
1,10.11,33.26,2,10.11,33.38,3,10.11,33.47
1,10.19,43.45,2,10.18,43.56,3,10.18,43.65
1,10.18,53.63,2,10.17,53.73,3,10.22,53.87
1,10.21,1:03.84,3,10.21,1:03.94,2,10.04,1:03.91
1,10.31,1:14.15,3,10.36,1:14.30,2,10.30,1:14.21
2,10.65,1:24.80,3,10.61,1:24.91,1,10.34,1:24.55
3,10.87,1:35.665,2,10.48,1:35.388,1,10.28,1:34.827
