SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
6,8.97,8.97,4,8.66,8.66,2,8.56,8.56,5,8.82,8.82,1,8.45,8.45,3,8.58,8.58,7,9.10,9.10
6,10.92,19.89,5,11.12,19.78,2,11.00,19.56,4,10.91,19.73,3,11.19,19.64,1,10.92,19.50,7,10.90,20.00
5,11.25,31.14,6,11.41,31.19,3,11.42,30.98,1,11.04,30.77,4,11.42,31.06,2,11.38,30.88,7,11.42,31.42
4,10.30,41.44,6,10.40,41.59,1,10.18,41.16,2,10.52,41.29,5,10.41,41.47,3,10.51,41.39,7,10.28,41.70
5,10.14,51.58,6,10.11,51.70,2,10.07,51.23,3,10.04,51.33,1,9.75,51.22,4,10.08,51.47,7,10.09,51.79
5,9.84,1:01.42,6,9.80,1:01.50,2,9.91,1:01.14,3,9.92,1:01.25,1,9.84,1:01.06,4,9.86,1:01.33,7,9.80,1:01.59
5,10.11,1:11.53,6,10.14,1:11.64,3,10.18,1:11.32,2,10.02,1:11.27,1,10.19,1:11.25,4,10.11,1:11.44,7,10.22,1:11.81
5,9.91,1:21.44,6,9.92,1:21.56,1,9.76,1:21.08,2,9.89,1:21.16,3,10.03,1:21.28,4,9.92,1:21.36,7,9.85,1:21.66
5,9.63,1:31.07,6,9.64,1:31.20,1,9.62,1:30.70,2,9.62,1:30.78,3,9.61,1:30.89,4,9.62,1:30.98,7,9.66,1:31.32
4,9.36,1:40.43,6,9.39,1:40.59,1,9.41,1:40.11,2,9.42,1:40.20,3,9.43,1:40.32,5,9.46,1:40.44,7,9.39,1:40.71
3,8.79,1:49.22,4,8.80,1:49.39,1,8.97,1:49.08,2,8.97,1:49.17,5,9.09,1:49.41,6,9.01,1:49.45,7,8.96,1:49.67
3,9.03,1:58.25,4,9.02,1:58.41,1,8.97,1:58.05,2,9.00,1:58.17,7,9.62,1:59.03,5,9.16,1:58.61,6,9.22,1:58.89
3,9.30,2:07.55,4,9.37,2:07.78,1,9.30,2:07.35,2,9.29,2:07.46,7,10.93,2:09.96,5,9.39,2:08.00,6,9.84,2:08.73
2,8.95,2:16.495,4,9.37,2:17.142,1,9.14,2:16.489,3,9.15,2:16.603,7,11.70,2:21.657,5,9.29,2:17.286,6,9.95,2:18.677
