SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Pier-Olivier GAGNON POSITION,Pier-Olivier GAGNON LAP TIME,Pier-Olivier GAGNON ELAPSED TIME,LIU Songbo POSITION,LIU Songbo LAP TIME,LIU Songbo ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,6.85,6.85,2,7.12,7.12,3,7.22,7.22,4,7.31,7.31
1,9.24,16.09,2,9.23,16.35,3,9.27,16.49,4,9.32,16.63
1,8.96,25.05,2,8.74,25.09,3,8.83,25.32,4,8.72,25.35
2,8.99,34.04,1,8.85,33.94,3,17.66,42.98,4,23.85,49.20
2,9.71,43.745,1,9.77,43.705,3,19.18,1:02.157,4,15.74,1:04.931
