Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME
2,6.87,6.87,3,6.98,6.98,1,6.70,6.70,4,7.12,7.12
2,8.98,15.85,3,9.06,16.04,1,8.96,15.66,4,9.05,16.17
2,8.56,24.41,3,8.67,24.71,1,8.66,24.32,4,8.64,24.81
1,8.84,33.25,3,9.13,33.84,2,8.95,33.27,4,9.12,33.93
1,9.00,42.244,3,18.21,52.044,2,9.23,42.497,4,24.12,58.043
