Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME
1,13.73,13.73,3,14.04,14.04,2,13.92,13.92,4,14.19,14.19,5,14.30,14.30
2,11.00,24.73,1,10.62,24.66,3,10.91,24.83,4,10.73,24.92,5,10.71,25.01
1,10.14,34.87,2,10.31,34.97,3,10.26,35.09,5,10.80,35.72,4,10.10,35.11
1,10.21,45.08,3,10.21,45.18,2,10.05,45.14,5,9.80,45.52,4,10.22,45.33
2,10.11,55.19,3,10.13,55.31,1,9.99,55.13,4,9.91,55.43,5,10.19,55.52
2,10.13,1:05.32,3,10.15,1:05.46,1,10.10,1:05.23,4,10.12,1:05.55,5,10.12,1:05.64
2,9.93,1:15.25,3,9.88,1:15.34,1,9.91,1:15.14,4,10.01,1:15.56,5,10.05,1:15.69
2,9.40,1:24.65,3,9.35,1:24.69,1,9.43,1:24.57,4,9.70,1:25.26,5,9.91,1:25.60
3,9.40,1:34.044,2,9.24,1:33.921,1,9.25,1:33.819,4,9.85,1:35.104,5,10.07,1:35.665
